Penta_Quartile	Q1-Q2	Q1-Q2	>Q3	<Q1	Q2-Q3	Q1-Q2	Q2-Q3	Q1-Q2	Q2-Q3	<Q1	>Q3	>Q3	<Q1	>Q3	Q1-Q2	>Q3	Q2-Q3	<Q1	Q1-Q2	>Q3	>Q3	<Q1	Q2-Q3	Q1-Q2	Q2-Q3	Q1-Q2	Q2-Q3	<Q1	>Q3	>Q3	<Q1	>Q3	Q1-Q2	>Q3	Q2-Q3	<Q1
Sex	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
D_0__Archaea	0.000000e+00	3.695819e-04	0.000000e+00	2.597133e-05	0.000000e+00	1.378057e-03	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.572211e-03	0.000000e+00	4.937730e-03	1.138668e-03	7.944226e-04	1.911805e-04	0.000000e+00	2.395387e-03	0.000000e+00	6.436257e-04	0.000000e+00	0.000000e+00	0.000000e+00	1.631079e-03	2.121611e-04	3.034675e-03	5.670465e-04	9.093785e-04	7.361429e-04	2.522903e-03	3.917763e-03	9.095634e-04	2.568603e-04	0.000000e+00	0.000000e+00	2.103049e-03
D_0__Archaea|D_1__Euryarchaeota	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	8.896797e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	1.338442e-04	0.000000e+00	3.917763e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	8.896797e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	1.338442e-04	0.000000e+00	3.917763e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	8.896797e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	1.338442e-04	0.000000e+00	3.917763e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|D_4__uncultured_marine_archaeon	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	5.560498e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	0.000000e+00	0.000000e+00	1.150169e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|D_4__uncultured_marine_archaeon|D_5__uncultured_marine_archaeon	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	5.560498e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	0.000000e+00	0.000000e+00	1.150169e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|D_4__uncultured_marine_archaeon|D_5__uncultured_marine_archaeon|D_6__uncultured_marine_archaeon	0.000000e+00	0.000000e+00	0.000000e+00	2.597133e-05	0.000000e+00	7.723177e-04	6.614430e-04	1.354448e-03	5.943764e-04	8.687123e-03	3.175298e-03	0.000000e+00	4.937730e-03	1.138668e-03	0.000000e+00	1.459009e-04	0.000000e+00	1.407599e-03	0.000000e+00	4.614675e-04	0.000000e+00	0.000000e+00	0.000000e+00	5.560498e-04	0.000000e+00	3.034675e-03	5.670465e-04	9.093785e-04	0.000000e+00	0.000000e+00	1.150169e-03	9.095634e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.706382e-04
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003336299	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0001338442	0.0000000000	0.0027675940	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003336299	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0001338442	0.0000000000	0.0027675940	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Archaea|D_1__Euryarchaeota|D_2__Thermoplasmata|D_3__Marine_Group_II|NA|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003336299	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0001338442	0.0000000000	0.0027675940	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Archaea|D_1__Thaumarchaeota	0.0000000000	0.0003695819	0.0000000000	0.0000000000	0.0000000000	0.0006057394	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003969123	0.0000000000	0.0000000000	0.0000000000	0.0007944226	0.0000452796	0.0000000000	0.0009877885	0.0000000000	0.0001821582	0.0000000000	0.0000000000	0.0000000000	0.0007413998	0.0002121611	0.0000000000	0.0000000000	0.0000000000	0.0006022988	0.0025229032	0.0000000000	0.0000000000	0.0002568603	0.0000000000	0.0000000000	0.0011324112
D_0__Archaea|D_1__Thaumarchaeota|D_2__Nitrososphaeria	0.0000000000	0.0003695819	0.0000000000	0.0000000000	0.0000000000	0.0006057394	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003969123	0.0000000000	0.0000000000	0.0000000000	0.0007944226	0.0000452796	0.0000000000	0.0009877885	0.0000000000	0.0001821582	0.0000000000	0.0000000000	0.0000000000	0.0007413998	0.0002121611	0.0000000000	0.0000000000	0.0000000000	0.0006022988	0.0025229032	0.0000000000	0.0000000000	0.0002568603	0.0000000000	0.0000000000	0.0011324112
D_0__Archaea|D_1__Thaumarchaeota|D_2__Nitrososphaeria|D_3__Nitrosopumilales	0.0000000000	0.0003695819	0.0000000000	0.0000000000	0.0000000000	0.0006057394	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003969123	0.0000000000	0.0000000000	0.0000000000	0.0007944226	0.0000452796	0.0000000000	0.0009877885	0.0000000000	0.0001821582	0.0000000000	0.0000000000	0.0000000000	0.0007413998	0.0002121611	0.0000000000	0.0000000000	0.0000000000	0.0006022988	0.0025229032	0.0000000000	0.0000000000	0.0002568603	0.0000000000	0.0000000000	0.0011324112
D_0__Archaea|D_1__Thaumarchaeota|D_2__Nitrososphaeria|D_3__Nitrosopumilales|D_4__Nitrosopumilaceae	0.0000000000	0.0003695819	0.0000000000	0.0000000000	0.0000000000	0.0006057394	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003969123	0.0000000000	0.0000000000	0.0000000000	0.0007944226	0.0000452796	0.0000000000	0.0009877885	0.0000000000	0.0001821582	0.0000000000	0.0000000000	0.0000000000	0.0007413998	0.0002121611	0.0000000000	0.0000000000	0.0000000000	0.0006022988	0.0025229032	0.0000000000	0.0000000000	0.0002568603	0.0000000000	0.0000000000	0.0011324112
D_0__Archaea|D_1__Thaumarchaeota|D_2__Nitrososphaeria|D_3__Nitrosopumilales|D_4__Nitrosopumilaceae|NA	0.0000000000	0.0003695819	0.0000000000	0.0000000000	0.0000000000	0.0006057394	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003969123	0.0000000000	0.0000000000	0.0000000000	0.0007944226	0.0000452796	0.0000000000	0.0009877885	0.0000000000	0.0001821582	0.0000000000	0.0000000000	0.0000000000	0.0007413998	0.0002121611	0.0000000000	0.0000000000	0.0000000000	0.0006022988	0.0025229032	0.0000000000	0.0000000000	0.0002568603	0.0000000000	0.0000000000	0.0011324112
